,Date,Team,Acquired,Relinquished,Notes
0,2000-03-23,Rockies,,• John Thomson,placed on 60-day DL recovering from surgery on shoulder
1,2000-04-01,Devil Rays,,• Wilson Alvarez,placed on DL
2,2000-04-01,Dodgers,,• Antonio Osuna,placed on 15-day DL
3,2000-04-08,Mets,,• Darryl Hamilton,placed on 15-day DL with sprained left foot
4,2000-04-08,Orioles,,• Mike Timlin,placed on 15-day DL with strained abdominal
5,2000-04-08,Padres,,• Carlos Hernandez,placed on 15-day DL with strained groin
6,2000-04-08,Cubs,• Glenallen Hill Sr.,,activated from 15-day DL
7,2000-05-24,Braves,,• Kevin McGlinchy,placed on 15-day DL
8,2000-05-24,Indians,,• Paul Shuey,placed on 15-day DL
9,2000-05-24,Giants,• Ellis Burks,,activated from 15-day DL
10,2000-06-21,Astros,,• Billy Wagner,placed on 15-day DL
11,2000-06-21,Rangers,,• Darren Oliver,placed on 15-day DL
12,2000-07-03,Devil Rays,• Vinny Castilla,,activated from 15-day DL
13,2000-07-03,Diamondbacks,,• Alex Cabrera,placed on 15-day DL
14,2000-07-03,Pirates,• Scott Sauerbeck,,activated from 15-day DL
15,2000-07-03,Blue Jays,• Peter Munro / Pete Munro,,activated from 15-day DL
16,2000-07-07,Mariners,,• Frank Rodriguez / Frankie Rodriguez,placed on 15-day DL
17,2000-07-07,Mariners,• Freddy Garcia,,activated from 15-day DL
18,2000-07-07,Reds,,• Osvaldo Fernandez,placed on 15-day DL
19,2000-07-12,Phillies,,• Scott Aldred,transferred to 60-day DL
20,2000-07-12,Yankees,,• Shane Spencer,placed on 60-day DL
21,2000-07-24,Mariners,• Alex Rodriguez (Enmanuel),,activated from 15-day DL
22,2000-07-26,Angels,• Scott Schoeneweis,,activated from 15-day DL
23,2000-07-31,Astros,,• Mitch Meluskey,placed on 15-day DL
24,2000-08-23,Athletics,,• Jeremy Giambi,placed on 15-day DL
25,2000-08-23,Mariners,,• Jay Buhner,placed on 15-day DL
26,2000-09-26,Indians,,• Charles Nagy,placed on 15-day DL with right elbow inflammation
27,2000-10-04,Angels,• Jason Dickson,,activated from 60-day DL
28,2000-10-04,Angels,• Jeff DaVanon,,activated from 60-day DL
29,2000-10-04,Angels,• Mike Colangelo,,activated from 60-day DL
30,2000-10-05,Marlins,• Brian Edmondson,,activated from 60-day DL
31,2000-10-05,Reds,• Aaron Boone,,activated from 60-day DL
32,2000-10-05,Reds,• Ed Taubensee / Eddie Taubensee,,activated from 60-day DL
33,2000-10-05,Rockies,• Josh Kalinowski,,activated from 60-day DL
34,2000-10-05,Rockies,• Larry Walker,,activated from 60-day DL
35,2000-10-10,Marlins,• Alex Fernandez (a),,activated from emergency disabled list
36,2000-10-10,Marlins,• Michael Tejera,,activated from emergency disabled list
37,2000-10-16,Marlins,• Kyle Peterson (a),,activated from 60-day DL
38,2000-10-16,Marlins,• Rocky Coppinger,,activated from 60-day DL
39,2000-10-27,Orioles,• Brian Falkenborg,,activated from 60-day DL
40,2000-11-02,Mets,• Rey Ordonez,,activated from 60-day DL
41,2000-11-03,Indians,• Charles Nagy,,activated from 60-day DL
42,2000-11-03,Indians,• Jacob Cruz,,activated from 60-day DL
43,2000-11-03,Indians,• Jaime Brown,,activated from 60-day DL
44,2000-11-03,Indians,• Jake Westbrook,,activated from 60-day DL
45,2000-11-03,Indians,• Jaret Wright,,activated from 60-day DL
46,2000-11-03,Indians,• Sean DePaula,,activated from 60-day DL
47,2000-11-10,White Sox,• Brian Simmons,,activated from 60-day DL
48,2001-03-09,Orioles,,• Albert Belle / Joey Belle,placed on 60-day DL with right hip injury
49,2001-03-11,Yankees,,• Allen Watson,placed on 60-day DL
50,2001-03-21,Reds,,• Seth Etherton,placed on 60-day DL with right shoulder injury
51,2001-03-22,Expos,,• Carl Pavano,placed on 15-day DL
52,2001-03-22,Rangers,,• Gabe Kapler,placed on IR with torn right quadriceps (date approximate)
53,2001-03-23,Blue Jays,,• Andy Thompson,placed on 15-day DL
54,2001-03-23,Blue Jays,,• Jeff Frye,placed on 15-day DL
55,2001-03-23,Blue Jays,,• Mike Sirtoka,placed on 15-day DL
56,2001-03-23,Cardinals,,• Carlos Hernandez,placed on 15-day DL recovering from surgery on lower back
57,2001-03-23,Cardinals,,• Garrett Stephenson,placed on 15-day DL strained right medial elbow
58,2001-03-23,Cardinals,,• Jason Christiansen,placed on 15-day DL recovering from surgery on left shoulder
59,2001-03-23,Cardinals,,• Luther Hackman,placed on 15-day DL recovering from surgery on right elbow
60,2001-03-25,Cardinals,,• Bobby Bonilla,placed on 15-day DL with pulled left hamstring
61,2001-03-27,Brewers,,• Everett Stull,placed on 15-day DL with strained right shoulder
62,2001-03-27,Brewers,,• Mark Loretta,placed on 15-day DL with torn ligament in left thumb
63,2001-03-27,White Sox,,• Bill Simas,placed on 15-day DL
64,2001-03-27,White Sox,,• James Baldwin (b),placed on 15-day DL
65,2001-03-31,Astros,,• Doug Brocail,placed on 15-day DL
66,2001-03-31,Astros,,• Shane Reynolds,placed on 15-day DL
67,2001-03-31,Athletics,,• Chad Harville,placed on 60-day DL
68,2001-03-31,Athletics,,• John Jaha,placed on 15-day DL
69,2001-03-31,Blue Jays,,• Andy Thompson,placed on 15-day DL (NYT)
70,2001-03-31,Blue Jays,,• Jeff Frye,placed on 15-day DL (NYT)
71,2001-03-31,Blue Jays,,• Mike Sirotka,placed on 15-day DL
72,2001-03-31,Devil Rays,,• Juan Guzman (A.),placed on 15-day DL
73,2001-03-31,Devil Rays,,• Wilson Alvarez,placed on 15-day DL
74,2001-03-31,Diamondbacks,,• Reggie Sanders,placed on 15-day DL
75,2001-03-31,Dodgers,,• (James) Kevin Brown,placed on 15-day DL
76,2001-03-31,Indians,,• Cameron Cairncross,placed on 60-day DL
77,2001-03-31,Indians,,• Charles Nagy,placed on 15-day DL
78,2001-03-31,Indians,,• Dave Roberts (a),placed on 15-day DL
79,2001-03-31,Indians,,• Jaret Wright,placed on 15-day DL
80,2001-03-31,Indians,,• Travis Fryman,placed on 15-day DL with strained ligament in right elbow
81,2001-03-31,Marlins,,• A.J. Burnett,placed on 15-day DL
82,2001-03-31,Marlins,,• Chuck Smith,placed on 15-day DL
83,2001-03-31,Marlins,,• Pablo Ozuna,placed on 15-day DL
84,2001-03-31,Phillies,,• Cliff Politte,placed on 60-day DL
85,2001-03-31,Phillies,,• Rob Ducey,placed on 15-day DL
86,2001-03-31,Pirates,,• Alex Hernandez,placed on 60-day DL
87,2001-03-31,Pirates,,• Francisco Cordova,placed on 15-day DL
88,2001-03-31,Pirates,,• Jason Schmidt,placed on 15-day DL
89,2001-03-31,Pirates,,• Kris Benson,placed on 15-day DL
90,2001-03-31,Pirates,,• Mike Benjamin (a)?,placed on 15-day DL
91,2001-03-31,Pirates,,• Rich Loiselle,placed on 60-day DL
92,2001-03-31,Red Sox,,• Bret Saberhagen,placed on 15-day DL recovering from sugery on right shoulder
93,2001-03-31,Red Sox,,• Bryce Florie,placed on 60-day DL with fractured right orbital bone
94,2001-03-31,Red Sox,,• David Cone,placed on 15-day DL with right shoulder inflammation
95,2001-03-31,Red Sox,,• Hipolito Pichardo,placed on 15-day DL with strained right elbow
96,2001-03-31,Red Sox,,• John Valentin,placed on 15-day DL recovering from surgery on left knee to repair patellar tendon
97,2001-03-31,Red Sox,,• Juan Pena,placed on 15-day DL recovering from surgery on right elbow
98,2001-03-31,Red Sox,,• Nomar Garciaparra,placed on 15-day DL with right wrist tendinitis
99,2001-03-31,Twins,,• Jay Canizaro,transferred to 60-day DL
100,2001-03-31,Yankees,,• Darrell Einertson,placed on 60-day DL
101,2001-03-31,Yankees,,• Henry Alberto Rodriguez / Henry Rodriguez (Alberto),placed on 15-day DL
102,2001-03-31,Yankees,,• Ramiro Mendoza,placed on 15-day DL
103,2001-03-31,Yankees,,• Shane Spencer,placed on 15-day DL
104,2001-03-31,Marlins,,• Jeff Abbott,placed on 15-day DL
105,2001-04-01,Cubs,,• Tom Gordon,placed on 15-day DL with strained right triceps muscle
106,2001-04-01,Mariners,,• Gil Meche,transferred to 60-day DL
107,2001-04-01,Mariners,,• Norm Charlton,transferred to 60-day DL
108,2001-04-01,Mariners,,• Paul Abbott,placed on 15-day DL with right shoulder stiffness
109,2001-04-03,Astros,,• Moises Alou,placed on 15-day DL
110,2001-04-04,Brewers,,• Valerio De Los Santos,placed on 15-day DL with tear in ulnar collateral ligament
111,2001-04-04,Cubs,,• Ron Coomer,placed on 15-day DL with torn medial meniscus in left knee
112,2001-04-04,Expos,,• Sandy Martinez,placed on 60-day DL
113,2001-04-04,Reds,,• Scott Williamson,placed on 60-day DL
114,2001-04-05,Angels,,• Ismael Valdes,placed on 15-day DL
115,2001-04-05,Blue Jays,,• Homer Bush,placed on 15-day DL
116,2001-04-06,Brewers,,• Valerio De Los Santos,transferred to 60-day DL with tear in ulnar collateral ligament
117,2001-04-06,Indians,,• Jamie Brown,placed on 15-day DL
118,2001-04-06,Phillies,,• Brian Hunter (L.) or Brian Hunter (R.),placed on DL
119,2001-04-06,Pirates,,• Mike Benjamin (a)?,transferred to 60-day DL
120,2001-04-06,Pirates,,• Terry Mulholland,placed on 15-day DL
121,2001-04-06,Red Sox,,• Chris Stynes,placed on 15-day DL with strained right hamstring
122,2001-04-08,Blue Jays,• Jeff Frye,,activated from 15-day DL
123,2001-04-09,Cardinals,• Bobby Bonilla,,activated from 15-day DL
124,2001-04-09,Mets,,• Benny Agbayani,placed on 15-day DL with fractured wrist
